roll,pitch,yaw,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
4.3734924730979685,-3.569270285411229,115.30206896166551,713,1437,16751,-1,0,2,53.25,203.875,-872.125
4.370672780653087,-3.5524356050915173,115.21163554015682,685,1432,16754,-4,0,2,51.625,204.625,-874.5
4.368052874313941,-3.588838358991088,115.11027292766884,707,1443,16779,-1,-2,2,48.625,204.5,-872.25
4.385364262137578,-3.583273922428963,115.01833025543826,700,1458,16761,-3,1,2,48.125,201.5,-877.625
4.3871029161879065,-3.5729408416694874,114.93121648393604,711,1428,16756,-1,-1,1,49.875,202.0,-872.125
4.400091106133805,-3.5345260527813425,114.84716105591733,691,1435,16765,-1,-2,-1,49.875,199.5,-873.0
4.40789863359638,-3.5432176417301706,114.75372794288876,707,1445,16739,-1,1,0,48.5,201.875,-871.875
4.4015445121691466,-3.5446544936819047,114.6634066881608,695,1427,16757,0,-2,2,48.875,203.875,-872.0
4.422304579974527,-3.522795299193166,114.58160646980055,708,1455,16778,-3,1,2,50.5,203.5,-874.25
4.425880240682364,-3.511285977532988,114.4961740666343,713,1432,16765,-1,0,-1,50.875,204.375,-874.625
4.436776617323701,-3.510374867004778,114.40677567219029,704,1449,16742,-2,-1,0,49.875,204.875,-871.25
4.441033257194781,-3.4870341409269168,114.32685323403082,699,1427,16742,1,-1,1,50.5,203.375,-871.625
4.447527147709048,-3.4581386124124944,114.25015728841313,695,1431,16762,0,-1,2,52.0,205.5,-872.125
4.456132158775731,-3.446730790481196,114.17483509322162,716,1434,16746,-1,0,1,49.875,200.0,-873.125
4.470389267709891,-3.438071637539858,114.09790313024038,713,1443,16752,0,-1,1,50.625,202.0,-869.625
4.500525452395022,-3.3850935062419762,114.03472989111877,716,1438,16750,2,-2,-1,55.5,203.875,-874.25
4.486549986645046,-3.401323839874269,113.94755053499074,697,1433,16756,-2,-1,-1,49.75,204.0,-872.375
4.492771424675678,-3.4267440984039546,113.86048958822063,705,1453,16747,1,0,1,47.625,202.75,-874.375
4.488998667095299,-3.4226688461151586,113.7773000721358,696,1437,16762,-1,-1,0,50.25,206.75,-872.5
4.505398004567154,-3.393340569974497,113.70865137059002,708,1446,16745,-2,0,1,49.875,199.875,-872.875
4.516470174049947,-3.3852002754184465,113.63591135542543,718,1446,16760,-1,-1,1,52.5,206.5,-869.0
4.532341100774377,-3.363278362551148,113.56228489548205,700,1454,16753,-1,0,-1,49.75,200.875,-873.875
4.542966414082999,-3.3321298928927163,113.49777660465145,709,1438,16733,-1,-1,0,52.75,202.875,-871.875
4.527549027136109,-3.3531495265802307,113.42001358963861,714,1429,16739,-2,-1,0,49.125,202.75,-873.375
4.534524184666093,-3.354812776082078,113.34729858259064,715,1445,16760,0,-1,1,50.5,204.625,-871.125
4.542039717816518,-3.3493627341439103,113.27495996668185,703,1449,16740,-1,0,1,48.0,200.5,-874.125
4.529901460653904,-3.3704578310060946,113.19723041781477,714,1435,16775,0,1,2,47.625,203.75,-868.75
4.5420994057007364,-3.3560209651057713,113.13183813970377,719,1448,16771,-1,0,3,50.875,206.0,-870.375
4.554308281623898,-3.319720567811551,113.0744243033965,721,1436,16761,-1,-1,1,51.75,202.5,-872.0
4.5711933567238585,-3.2870322190002152,113.01384517653102,702,1448,16755,0,-1,1,50.375,200.375,-870.625
4.586992285364761,-3.2839520268829214,112.94861882444211,716,1456,16742,0,-1,1,50.5,202.5,-870.625
4.587409084239819,-3.278548273066668,112.88197184223255,701,1443,16738,0,-1,1,48.875,200.875,-872.0
